cell_id,crs,x_scale,x_shear,x_trans,y_shear,y_scale,y_trans,width,height,file
15751,EPSG:5070,10.0,0.0,286680.0,0.0,-10.0,2764620.0,337,337,rf_class_reviewer_bekka_grid_15751_sample_431_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
15851,EPSG:5070,10.0,0.0,286680.0,0.0,-10.0,2697420.0,337,336,rf_class_reviewer_bekka_grid_15851_sample_525_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
16691,EPSG:5070,10.0,0.0,293400.0,0.0,-10.0,2589900.0,337,337,rf_class_reviewer_bekka_grid_16691_sample_194_sensor_Sentinel-2_target_2021_opt_2020_2022.tif
16793,EPSG:5070,10.0,0.0,293400.0,0.0,-10.0,2519350.0,337,337,rf_class_reviewer_bekka_grid_16793_sample_494_sensor_Sentinel-2_target_2021_opt_2020_2022.tif
16801,EPSG:5070,10.0,0.0,293400.0,0.0,-10.0,2515990.0,337,337,rf_class_reviewer_bekka_grid_16801_sample_477_sensor_Sentinel-2_target_2019_opt_2018_2020.tif
16920,EPSG:5070,10.0,0.0,290040.0,0.0,-10.0,2435350.0,337,337,rf_class_reviewer_bekka_grid_16920_sample_374_sensor_Sentinel-2_target_2021_opt_2020_2022.tif
17012,EPSG:5070,10.0,0.0,290040.0,0.0,-10.0,2371510.0,337,338,rf_class_reviewer_bekka_grid_17012_sample_223_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
17111,EPSG:5070,10.0,0.0,300120.0,0.0,-10.0,2764620.0,337,337,rf_class_reviewer_mina_grid_17111_sample_13_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
17331,EPSG:5070,10.0,0.0,300120.0,0.0,-10.0,2616790.0,337,337,rf_class_reviewer_ash_grid_17331_sample_209_sensor_Sentinel-2_target_2021_opt_2020_2022.tif
17602,EPSG:5070,10.0,0.0,296760.0,0.0,-10.0,2431990.0,337,337,rf_class_reviewer_bekka_grid_17602_sample_492_sensor_Sentinel-2_target_2019_opt_2018_2020.tif
17613,EPSG:5070,10.0,0.0,300120.0,0.0,-10.0,2425260.0,337,337,rf_class_reviewer_bekka_grid_17613_sample_537_sensor_Sentinel-2_target_2019_opt_2018_2020.tif
17731,EPSG:5070,10.0,0.0,306840.0,0.0,-10.0,2791510.0,337,337,rf_class_reviewer_bekka_grid_17731_sample_165_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
17863,EPSG:5070,10.0,0.0,306840.0,0.0,-10.0,2700780.0,337,337,rf_class_reviewer_bekka_grid_17863_sample_480_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
17943,EPSG:5070,10.0,0.0,306840.0,0.0,-10.0,2647020.0,337,337,rf_class_reviewer_mina_grid_17943_sample_193_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
18400,EPSG:5070,10.0,0.0,310200.0,0.0,-10.0,2784790.0,337,337,rf_class_reviewer_bekka_grid_18400_sample_315_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
18731,EPSG:5070,10.0,0.0,313560.0,0.0,-10.0,2549590.0,337,337,rf_class_reviewer_bekka_grid_18731_sample_447_sensor_Sentinel-2_target_2019_opt_2018_2020.tif
18930,EPSG:5070,10.0,0.0,310200.0,0.0,-10.0,2415180.0,337,337,rf_class_reviewer_bekka_grid_18930_sample_522_sensor_Sentinel-2_target_2019_opt_2018_2020.tif
19683,EPSG:5070,10.0,0.0,327000.0,0.0,-10.0,2767980.0,337,337,rf_class_reviewer_bekka_grid_19683_sample_298_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
19711,EPSG:5070,10.0,0.0,327000.0,0.0,-10.0,2751190.0,337,337,rf_class_reviewer_bekka_grid_19711_sample_540_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
20941,EPSG:5070,10.0,0.0,340440.0,0.0,-10.0,2744470.0,337,337,rf_class_reviewer_bekka_grid_20941_sample_281_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
21050,EPSG:5070,10.0,0.0,337080.0,0.0,-10.0,2636950.0,337,337,rf_class_reviewer_bekka_grid_21050_sample_117_sensor_Sentinel-2_target_2019_opt_2018_2020.tif
21102,EPSG:5070,10.0,0.0,337080.0,0.0,-10.0,2599990.0,337,338,rf_class_reviewer_bekka_grid_21102_sample_312_sensor_Sentinel-2_target_2019_opt_2018_2020.tif
