source,cell_id,bracket,macro_f1,n_classes_included,in_common_set,f1_stable,f1_harvest,f1_development,f1_insectdisease,f1_beaver
v6,09011,2021_2023,0.16328,5,True,0.81241,0.0,0.00398,0.0,0.0
spec_all,09011,2021_2023,0.18508,5,True,0.92283,0.0,0.00259,0.0,0.0
v2,09482,2021_2023,0.19987,5,True,0.99935,0.0,0.0,0.0,0.0
v3,09482,2021_2023,0.197,5,True,0.98502,0.0,0.0,0.0,0.0
v4,09482,2021_2023,0.25071,4,True,0.99694,0.0,0.0,0.0059,
v5,09482,2021_2023,0.19664,5,True,0.98321,0.0,0.0,0.0,0.0
v6,09482,2021_2023,0.1576,5,True,0.77763,0.0,0.00827,0.00208,0.0
spec_all,09482,2021_2023,0.18591,5,True,0.88715,0.0,0.03537,0.00704,0.0
v2,09520,2019_2021,0.21575,4,True,0.86299,0.0,0.0,,0.0
v3,09520,2019_2021,0.17945,4,True,0.71781,0.0,0.0,,0.0
v4,09520,2019_2021,0.21854,5,True,0.97715,0.11557,0.0,0.0,0.0
v5,09520,2019_2021,0.18041,4,True,0.71972,0.00194,0.0,,0.0
v6,09520,2019_2021,0.14748,5,True,0.71347,0.02392,0.0,0.0,0.0
spec_all,09520,2019_2021,0.18785,5,True,0.93924,0.0,0.0,0.0,0.0
v2,09883,2017_2019,0.26983,4,True,0.99824,0.0,0.08108,0.0,
v3,09883,2017_2019,0.24694,4,True,0.98134,0.0,0.00643,0.0,
v4,09883,2017_2019,0.20376,5,True,0.91961,0.00195,0.09722,0.0,0.0
v5,09883,2017_2019,0.24517,4,True,0.9789,0.0,0.00178,0.0,
v6,09883,2017_2019,0.12601,5,True,0.62376,0.0007,0.00557,0.0,0.0
spec_all,09883,2017_2019,0.20534,5,True,0.99161,0.0,0.03512,0.0,0.0
v2,09920,2021_2023,0.39134,3,True,0.99357,0.0,0.18046,,
v3,09920,2021_2023,0.33245,3,True,0.98762,0.0,0.00974,,
v4,09920,2021_2023,0.26509,4,True,0.97867,0.00543,0.07625,0.0,
v5,09920,2021_2023,0.34863,3,True,0.98281,0.0,0.06308,,
v6,09920,2021_2023,0.19101,5,True,0.86521,0.00884,0.08101,0.0,0.0
spec_all,09920,2021_2023,0.13287,5,True,0.64093,0.0,0.02343,0.0,0.0
v2,10200,2017_2019,0.30918,3,True,0.91645,,,0.0,0.01108
