version,W,ref_code,ref_class,map_code,map_class,count
v2,7,9,Beaver,3,Forest,3
v2,7,9,Beaver,4,Urban,3
v2,7,9,Beaver,5,Water,1
v2,7,9,Beaver,6,Agriculture,4
v2,7,9,Beaver,7,Grass/Shrub,15
v2,7,9,Beaver,8,Wetland,35
v2,7,9,Beaver,9,Beaver,28
v2,7,9,Beaver,10,Insect/Disease,4
v2,7,10,Insect/Disease,1,Harvest,75
v2,7,10,Insect/Disease,3,Forest,187
v2,7,10,Insect/Disease,7,Grass/Shrub,22
v2,7,10,Insect/Disease,8,Wetland,24
v2,7,10,Insect/Disease,9,Beaver,113
v2,7,10,Insect/Disease,10,Insect/Disease,14
v2,9,1,Harvest,1,Harvest,160
v2,9,1,Harvest,2,Development,5
v2,9,1,Harvest,3,Forest,1417
v2,9,1,Harvest,4,Urban,51
v2,9,1,Harvest,6,Agriculture,1
v2,9,1,Harvest,7,Grass/Shrub,140
v2,9,1,Harvest,8,Wetland,61
v2,9,1,Harvest,9,Beaver,175
v2,9,1,Harvest,10,Insect/Disease,111
v2,9,2,Development,1,Harvest,1
v2,9,2,Development,2,Development,11
v2,9,2,Development,3,Forest,14
v2,9,2,Development,4,Urban,37
v2,9,2,Development,6,Agriculture,28
v2,9,2,Development,7,Grass/Shrub,6
v2,9,2,Development,8,Wetland,10
v2,9,3,Forest,1,Harvest,1441
v2,9,3,Forest,2,Development,120
v2,9,3,Forest,3,Forest,86025
v2,9,3,Forest,4,Urban,1500
v2,9,3,Forest,5,Water,291
v2,9,3,Forest,6,Agriculture,539
v2,9,3,Forest,7,Grass/Shrub,9175
v2,9,3,Forest,8,Wetland,5027
v2,9,3,Forest,9,Beaver,8502
v2,9,3,Forest,10,Insect/Disease,3470
v2,9,4,Urban,1,Harvest,7
v2,9,4,Urban,2,Development,67
v2,9,4,Urban,3,Forest,192
v2,9,4,Urban,4,Urban,3771
v2,9,4,Urban,5,Water,26
v2,9,4,Urban,6,Agriculture,223
v2,9,4,Urban,7,Grass/Shrub,70
v2,9,4,Urban,8,Wetland,87
v2,9,4,Urban,9,Beaver,13
v2,9,4,Urban,10,Insect/Disease,1
v2,9,5,Water,2,Development,11
v2,9,5,Water,3,Forest,199
v2,9,5,Water,4,Urban,38
v2,9,5,Water,5,Water,16486
v2,9,5,Water,6,Agriculture,1
v2,9,5,Water,7,Grass/Shrub,51
v2,9,5,Water,8,Wetland,275
v2,9,5,Water,9,Beaver,42
v2,9,5,Water,10,Insect/Disease,3
v2,9,6,Agriculture,1,Harvest,31
v2,9,6,Agriculture,2,Development,530
v2,9,6,Agriculture,3,Forest,1362
v2,9,6,Agriculture,4,Urban,3159
v2,9,6,Agriculture,5,Water,24
v2,9,6,Agriculture,6,Agriculture,27230
v2,9,6,Agriculture,7,Grass/Shrub,1860
v2,9,6,Agriculture,8,Wetland,475
v2,9,6,Agriculture,9,Beaver,36
v2,9,6,Agriculture,10,Insect/Disease,16
v2,9,7,Grass/Shrub,1,Harvest,269
v2,9,7,Grass/Shrub,2,Development,394
v2,9,7,Grass/Shrub,3,Forest,2196
v2,9,7,Grass/Shrub,4,Urban,2432
v2,9,7,Grass/Shrub,5,Water,31
v2,9,7,Grass/Shrub,6,Agriculture,2899
v2,9,7,Grass/Shrub,7,Grass/Shrub,5370
v2,9,7,Grass/Shrub,8,Wetland,2592
v2,9,7,Grass/Shrub,9,Beaver,496
v2,9,7,Grass/Shrub,10,Insect/Disease,227
v2,9,8,Wetland,1,Harvest,14
v2,9,8,Wetland,2,Development,70
v2,9,8,Wetland,3,Forest,3100
v2,9,8,Wetland,4,Urban,626
v2,9,8,Wetland,5,Water,853
v2,9,8,Wetland,6,Agriculture,373
v2,9,8,Wetland,7,Grass/Shrub,3193
v2,9,8,Wetland,8,Wetland,7128
v2,9,8,Wetland,9,Beaver,2867
v2,9,8,Wetland,10,Insect/Disease,741
v2,9,9,Beaver,3,Forest,1
v2,9,9,Beaver,4,Urban,2
v2,9,9,Beaver,6,Agriculture,2
v2,9,9,Beaver,7,Grass/Shrub,6
v2,9,9,Beaver,8,Wetland,19
v2,9,9,Beaver,9,Beaver,14
v2,9,9,Beaver,10,Insect/Disease,2
v2,9,10,Insect/Disease,1,Harvest,42
v2,9,10,Insect/Disease,3,Forest,105
v2,9,10,Insect/Disease,4,Urban,1
v2,9,10,Insect/Disease,7,Grass/Shrub,11
v2,9,10,Insect/Disease,8,Wetland,10
v2,9,10,Insect/Disease,9,Beaver,66
v2,9,10,Insect/Disease,10,Insect/Disease,8
v3,1,1,Harvest,1,Harvest,11852
v3,1,1,Harvest,2,Development,1170
v3,1,1,Harvest,3,Forest,110862
v3,1,1,Harvest,4,Urban,3027
v3,1,1,Harvest,5,Water,69
v3,1,1,Harvest,6,Agriculture,1056
v3,1,1,Harvest,7,Grass/Shrub,21200
v3,1,1,Harvest,8,Wetland,11388
v3,1,1,Harvest,9,Beaver,20033
v3,1,1,Harvest,10,Insect/Disease,9891
v3,1,2,Development,1,Harvest,175
v3,1,2,Development,2,Development,665
v3,1,2,Development,3,Forest,1444
v3,1,2,Development,4,Urban,4419
v3,1,2,Development,5,Water,97
v3,1,2,Development,6,Agriculture,2698
v3,1,2,Development,7,Grass/Shrub,917
v3,1,2,Development,8,Wetland,1869
v3,1,2,Development,9,Beaver,402
v3,1,2,Development,10,Insect/Disease,64
v3,1,3,Forest,1,Harvest,213167
v3,1,3,Forest,2,Development,39236
v3,1,3,Forest,3,Forest,5650737
v3,1,3,Forest,4,Urban,72064
v3,1,3,Forest,5,Water,22886
v3,1,3,Forest,6,Agriculture,52269
v3,1,3,Forest,7,Grass/Shrub,605659
v3,1,3,Forest,8,Wetland,302735
v3,1,3,Forest,9,Beaver,1595456
v3,1,3,Forest,10,Insect/Disease,498524
v3,1,4,Urban,1,Harvest,5522
v3,1,4,Urban,2,Development,21881
v3,1,4,Urban,3,Forest,43386
v3,1,4,Urban,4,Urban,385011
v3,1,4,Urban,5,Water,5927
v3,1,4,Urban,6,Agriculture,52267
v3,1,4,Urban,7,Grass/Shrub,13105
v3,1,4,Urban,8,Wetland,26920
v3,1,4,Urban,9,Beaver,12488
v3,1,4,Urban,10,Insect/Disease,4070
v3,1,5,Water,1,Harvest,228
v3,1,5,Water,2,Development,2754
v3,1,5,Water,3,Forest,19792
v3,1,5,Water,4,Urban,2557
v3,1,5,Water,5,Water,1352474
v3,1,5,Water,6,Agriculture,897
v3,1,5,Water,7,Grass/Shrub,1331
v3,1,5,Water,8,Wetland,30986
v3,1,5,Water,9,Beaver,17495
v3,1,5,Water,10,Insect/Disease,3738
v3,1,6,Agriculture,1,Harvest,8964
v3,1,6,Agriculture,2,Development,69554
v3,1,6,Agriculture,3,Forest,84641
v3,1,6,Agriculture,4,Urban,217616
v3,1,6,Agriculture,5,Water,2864
v3,1,6,Agriculture,6,Agriculture,2117779
v3,1,6,Agriculture,7,Grass/Shrub,143764
v3,1,6,Agriculture,8,Wetland,58932
v3,1,6,Agriculture,9,Beaver,1713
v3,1,6,Agriculture,10,Insect/Disease,3220
v3,1,7,Grass/Shrub,1,Harvest,31566
v3,1,7,Grass/Shrub,2,Development,63159
v3,1,7,Grass/Shrub,3,Forest,202202
v3,1,7,Grass/Shrub,4,Urban,188336
v3,1,7,Grass/Shrub,5,Water,3082
v3,1,7,Grass/Shrub,6,Agriculture,311302
v3,1,7,Grass/Shrub,7,Grass/Shrub,445380
v3,1,7,Grass/Shrub,8,Wetland,269431
v3,1,7,Grass/Shrub,9,Beaver,62933
v3,1,7,Grass/Shrub,10,Insect/Disease,28967
v3,1,8,Wetland,1,Harvest,10083
v3,1,8,Wetland,2,Development,23551
v3,1,8,Wetland,3,Forest,264993
v3,1,8,Wetland,4,Urban,58517
v3,1,8,Wetland,5,Water,79659
v3,1,8,Wetland,6,Agriculture,58970
v3,1,8,Wetland,7,Grass/Shrub,279090
v3,1,8,Wetland,8,Wetland,611895
v3,1,8,Wetland,9,Beaver,358288
v3,1,8,Wetland,10,Insect/Disease,80338
v3,1,9,Beaver,1,Harvest,33
v3,1,9,Beaver,2,Development,81
v3,1,9,Beaver,3,Forest,737
v3,1,9,Beaver,4,Urban,201
v3,1,9,Beaver,5,Water,583
v3,1,9,Beaver,6,Agriculture,414
v3,1,9,Beaver,7,Grass/Shrub,850
v3,1,9,Beaver,8,Wetland,3070
v3,1,9,Beaver,9,Beaver,2354
v3,1,9,Beaver,10,Insect/Disease,354
v3,1,10,Insect/Disease,1,Harvest,8279
v3,1,10,Insect/Disease,2,Development,480
v3,1,10,Insect/Disease,3,Forest,17445
v3,1,10,Insect/Disease,4,Urban,621
v3,1,10,Insect/Disease,5,Water,63
v3,1,10,Insect/Disease,6,Agriculture,503
v3,1,10,Insect/Disease,7,Grass/Shrub,2166
v3,1,10,Insect/Disease,8,Wetland,2456
v3,1,10,Insect/Disease,9,Beaver,14416
v3,1,10,Insect/Disease,10,Insect/Disease,1969
v3,3,1,Harvest,1,Harvest,1227
v3,3,1,Harvest,2,Development,116
v3,3,1,Harvest,3,Forest,12230
v3,3,1,Harvest,4,Urban,316
v3,3,1,Harvest,5,Water,2
v3,3,1,Harvest,6,Agriculture,74
v3,3,1,Harvest,7,Grass/Shrub,2196
v3,3,1,Harvest,8,Wetland,1255
v3,3,1,Harvest,9,Beaver,2156
v3,3,1,Harvest,10,Insect/Disease,1061
v3,3,2,Development,1,Harvest,17
v3,3,2,Development,2,Development,60
v3,3,2,Development,3,Forest,159
v3,3,2,Development,4,Urban,434
v3,3,2,Development,5,Water,10
v3,3,2,Development,6,Agriculture,284
v3,3,2,Development,7,Grass/Shrub,101
v3,3,2,Development,8,Wetland,198
v3,3,2,Development,9,Beaver,31
v3,3,2,Development,10,Insect/Disease,4
v3,3,3,Forest,1,Harvest,23209
v3,3,3,Forest,2,Development,4611
v3,3,3,Forest,3,Forest,641977
v3,3,3,Forest,4,Urban,10444
v3,3,3,Forest,5,Water,2803
v3,3,3,Forest,6,Agriculture,5825
