run,version,overall_accuracy,macro_f1,mean_iou,kappa
69,v6,0.1861,0.1036,0.0582,0.0587
70,v2,0.6557,0.3779,0.2969,0.5284
70,v3,0.6054,0.3713,0.2898,0.4822
70,v4,0.505,0.2408,0.1617,0.3155
70,v5,0.5641,0.3608,0.279,0.4414
70,v6,0.1866,0.1036,0.0582,0.0592
71,v2,0.6586,0.3815,0.2999,0.5325
71,v3,0.6073,0.3747,0.2926,0.4848
71,v4,0.509,0.2453,0.1648,0.3211
71,v5,0.5656,0.3631,0.2811,0.4434
71,v6,0.1869,0.1041,0.0585,0.0597
72,v2,0.6566,0.378,0.2964,0.5287
72,v3,0.6048,0.3707,0.2888,0.4806
72,v4,0.5068,0.2419,0.1622,0.3167
72,v5,0.5632,0.3592,0.2775,0.4395
72,v6,0.187,0.1033,0.0581,0.0595
73,v2,0.6565,0.3801,0.2982,0.5299
73,v3,0.6051,0.3727,0.2905,0.4822
73,v4,0.5091,0.2457,0.165,0.3215
73,v5,0.5631,0.3613,0.2791,0.4406
73,v6,0.1865,0.1042,0.0585,0.0592
74,v2,0.6538,0.3755,0.2945,0.5262
74,v3,0.6031,0.3685,0.2873,0.4794
74,v4,0.5057,0.2408,0.1615,0.3171
74,v5,0.5612,0.357,0.2758,0.4379
74,v6,0.1863,0.1031,0.0579,0.059
75,v2,0.6539,0.3764,0.2958,0.5258
75,v3,0.6043,0.3704,0.2893,0.4807
75,v4,0.5039,0.2402,0.1611,0.3142
75,v5,0.5623,0.3591,0.278,0.4391
75,v6,0.1865,0.1034,0.0581,0.0592
76,v2,0.6576,0.3789,0.2975,0.5306
76,v3,0.6067,0.3719,0.2903,0.4836
76,v4,0.5064,0.2411,0.1618,0.317
76,v5,0.5643,0.3602,0.2786,0.4414
76,v6,0.1859,0.1029,0.0578,0.0584
77,v2,0.6569,0.3789,0.2974,0.5299
77,v3,0.6057,0.3719,0.2901,0.4824
77,v4,0.5059,0.2423,0.1623,0.3169
77,v5,0.5639,0.3604,0.2787,0.441
77,v6,0.1866,0.1033,0.058,0.0594
78,v2,0.6557,0.3796,0.298,0.5292
78,v3,0.605,0.3723,0.2906,0.4823
78,v4,0.5059,0.2432,0.1632,0.3182
78,v5,0.5632,0.361,0.2793,0.4409
78,v6,0.1858,0.1036,0.0582,0.0587
79,v2,0.6575,0.3801,0.2985,0.5305
79,v3,0.6062,0.3729,0.2911,0.4829
79,v4,0.5088,0.2442,0.1638,0.3196
79,v5,0.5644,0.3612,0.2795,0.4415
79,v6,0.1866,0.1037,0.0582,0.0589
80,v2,0.6576,0.38,0.2982,0.5312
80,v3,0.6069,0.3734,0.2912,0.4842
80,v4,0.5073,0.2435,0.1633,0.3192
80,v5,0.5647,0.3616,0.2796,0.4423
80,v6,0.1866,0.1037,0.0582,0.0594
