version,W,n,cls,sd_simple,sd_strat,strat_efficiency
v2,7,200,Harvest,0.11503,0.06996,0.608
v2,7,200,Development,0.04997,0.05264,1.053
v2,7,200,Insect/Disease,0.06896,0.04522,0.656
v2,7,200,Beaver,0.01941,0.01873,0.965
v2,7,500,Stable,0.00595,0.01173,1.971
v2,7,500,Harvest,0.0861,0.03919,0.455
v2,7,500,Development,0.04701,0.02696,0.574
v2,7,500,Insect/Disease,0.02647,0.08366,3.161
v2,7,500,Beaver,0.01066,0.00253,0.237
v2,7,1000,Stable,0.00448,0.00935,2.088
v2,7,1000,Harvest,0.06035,0.04442,0.736
v2,7,1000,Development,0.02967,0.02451,0.826
v2,7,1000,Insect/Disease,0.02319,0.02462,1.062
v2,7,1000,Beaver,0.0061,0.00779,1.277
v2,7,2000,Stable,0.0034,0.00657,1.932
v2,7,2000,Harvest,0.04398,0.02623,0.596
v2,7,2000,Development,0.02562,0.01414,0.552
v2,7,2000,Insect/Disease,0.01568,0.01532,0.977
v2,7,2000,Beaver,0.00449,0.00485,1.08
v2,7,5000,Stable,0.00187,0.00456,2.44
v2,7,5000,Harvest,0.02822,0.01572,0.557
v2,7,5000,Development,0.01271,0.01065,0.838
v2,7,5000,Insect/Disease,0.01022,0.01311,1.283
v2,7,5000,Beaver,0.00283,0.00467,1.653
v2,9,20,Stable,0.03032,0.06884,2.27
v2,9,20,Harvest,0.31948,0.16003,0.501
v2,9,20,Development,0.38096,0.17473,0.459
v2,9,20,Insect/Disease,0.0831,0.14907,1.794
v2,9,20,Beaver,,0.07705,
v2,9,50,Stable,0.01929,0.0473,2.452
v2,9,50,Harvest,0.27199,0.11,0.404
v2,9,50,Development,0.20112,0.11498,0.572
v2,9,50,Insect/Disease,0.10994,0.07811,0.71
v2,9,50,Beaver,0.09,0.05635,0.626
v2,9,100,Stable,0.01329,0.03046,2.292
v2,9,100,Harvest,0.12693,0.07915,0.624
v2,9,100,Development,0.13265,0.06757,0.509
v2,9,100,Insect/Disease,0.06168,0.09346,1.515
v2,9,100,Beaver,0.02559,0.01483,0.58
v2,9,200,Stable,0.00999,0.0216,2.163
v2,9,200,Harvest,0.13279,0.05709,0.43
v2,9,200,Development,0.07105,0.05076,0.714
v2,9,200,Insect/Disease,0.0415,0.05347,1.288
v2,9,200,Beaver,0.01228,0.00612,0.498
v2,9,500,Stable,0.00642,0.01176,1.831
v2,9,500,Harvest,0.07813,0.04845,0.62
v2,9,500,Development,0.0475,0.04176,0.879
v2,9,500,Insect/Disease,0.03344,0.01991,0.595
v2,9,500,Beaver,0.01035,0.00699,0.675
v2,9,1000,Stable,0.00383,0.00897,2.346
v2,9,1000,Harvest,0.05257,0.03337,0.635
v2,9,1000,Development,0.02592,0.02997,1.156
v2,9,1000,Insect/Disease,0.01872,0.01846,0.986
v2,9,1000,Beaver,0.00473,0.00439,0.929
v2,9,2000,Stable,0.00299,0.00607,2.027
