design,version,W,n,cls,metric,census,mean,sd,bias,frac_undefined
strat,v2,3,50,Stable,recall,0.8958,0.8934,0.07788,-0.00241,0.0
strat,v2,3,50,Harvest,recall,0.0764,0.082,0.07924,0.0056,0.0
strat,v2,3,50,Development,recall,0.0917,0.0984,0.10627,0.00665,0.0
strat,v2,3,50,Insect/Disease,recall,0.0716,0.0749,0.11581,0.00331,0.0
strat,v2,3,50,Beaver,recall,0.3294,0.424,0.15341,0.09453,0.0
strat,v2,3,50,Stable,precision,0.9867,0.9868,0.00889,0.00017,0.0
strat,v2,3,50,Harvest,precision,0.0892,0.4276,0.34773,0.33847,0.01
strat,v2,3,50,Development,precision,0.0072,0.3878,0.39703,0.38058,0.07
strat,v2,3,50,Insect/Disease,precision,0.0113,0.2035,0.27939,0.19217,0.13
strat,v2,3,50,Beaver,precision,0.0019,0.0206,0.04643,0.0187,0.0
strat,v2,3,50,Stable,f1,0.939,0.9359,0.04441,-0.00312,0.0
strat,v2,3,50,Harvest,f1,0.0823,0.161,0.11218,0.07872,0.23
strat,v2,3,50,Development,f1,0.0134,0.1317,0.1465,0.11824,0.19
strat,v2,3,50,Insect/Disease,f1,0.0195,0.1371,0.11376,0.11753,0.45
strat,v2,3,50,Beaver,f1,0.0038,0.0327,0.06754,0.02887,0.0
simple,v2,3,100,Stable,recall,0.8958,0.8946,0.02702,-0.00121,0.0
simple,v2,3,100,Harvest,recall,0.0764,0.0624,0.19307,-0.01394,0.21
simple,v2,3,100,Development,recall,0.0917,0.0909,0.30151,-0.00081,0.89
simple,v2,3,100,Insect/Disease,recall,0.0716,0.0361,0.14725,-0.03552,0.31
simple,v2,3,100,Beaver,recall,0.3294,0.4861,0.50979,0.15669,0.88
simple,v2,3,100,Stable,precision,0.9867,0.987,0.01088,0.00033,0.0
simple,v2,3,100,Harvest,precision,0.0892,0.082,0.23769,-0.0072,0.21
simple,v2,3,100,Development,precision,0.0072,0.0119,0.10911,0.00466,0.16
simple,v2,3,100,Insect/Disease,precision,0.0113,0.0114,0.06114,6e-05,0.05
simple,v2,3,100,Beaver,precision,0.0019,0.0035,0.01543,0.00157,0.0
simple,v2,3,100,Stable,f1,0.939,0.9383,0.01537,-0.00077,0.0
