version,W,n,oa_sd_10,oa_bias_10,mf1_sd_10,mf1_bias_10,oa_sd_5,oa_bias_5,mf1_sd_5,mf1_bias_5,deff_10,deff_5
v6,3,100,0.01877,0.00316,0.0247,0.05674,0.02885,0.00262,0.21293,0.46789,2.077,4.006
v6,3,200,0.01358,-0.0014,0.01708,0.04297,0.01787,0.00179,0.20173,0.34751,2.175,3.073
v6,3,500,0.00835,-0.00048,0.01419,0.03213,0.01281,-0.00208,0.09434,0.18022,2.058,3.948
v6,3,1000,0.00552,0.00034,0.01285,0.02313,0.00762,6e-05,0.08262,0.12339,1.797,2.792
v6,3,2000,0.00373,-7e-05,0.01151,0.01336,0.00548,0.00075,0.04915,0.05615,1.639,2.893
v6,3,5000,0.00258,0.00012,0.00583,0.00298,0.00391,-0.00046,0.02358,0.01213,1.959,3.672
v6,5,20,0.03816,0.00159,0.04167,0.06682,0.0549,0.0026,0.18899,0.5736,4.771,8.059
v6,5,50,0.02202,0.0014,0.02265,0.05016,0.03298,-0.00892,0.21262,0.45534,3.973,7.271
v6,5,100,0.01501,-0.00073,0.02272,0.04279,0.02645,0.00049,0.20073,0.31816,3.69,9.352
v6,5,200,0.01181,0.00175,0.01776,0.03774,0.01801,0.00148,0.1351,0.21025,4.572,8.673
v6,5,500,0.00797,-0.00067,0.01366,0.01947,0.0104,0.00219,0.07895,0.11328,5.197,7.233
v6,5,1000,0.005,0.0001,0.01093,0.01344,0.00759,-0.00028,0.04826,0.05151,4.089,7.69
v6,5,2000,0.00393,-0.0002,0.00717,0.00442,0.00527,-0.00019,0.03298,0.02266,5.072,7.433
v6,5,5000,0.00231,0.00052,0.00317,0.001,0.00377,0.00028,0.01071,0.00264,4.376,9.515
v6,7,20,0.0324,0.00029,0.03563,0.05665,0.04734,0.00238,0.21716,0.51016,6.743,11.74
v6,7,50,0.01933,-0.00163,0.02322,0.04446,0.03514,0.00061,0.23,0.40385,5.997,16.176
v6,7,100,0.01578,-0.00285,0.02009,0.03745,0.02526,-0.00147,0.20982,0.27582,7.994,16.715
v6,7,200,0.01069,-0.00083,0.0154,0.0245,0.01744,-0.00012,0.10212,0.15075,7.331,15.928
v6,7,500,0.00601,0.00148,0.01276,0.01569,0.0105,1e-05,0.05855,0.07733,5.802,14.428
v6,7,1000,0.00487,0.00029,0.00972,0.0077,0.00774,0.00043,0.03396,0.02498,7.606,15.71
v6,7,2000,0.00339,4e-05,0.00545,0.00214,0.00577,0.00039,0.01944,0.00787,7.378,17.429
v6,7,5000,0.00215,0.00025,0.00197,0.00019,0.00313,0.00051,0.0047,0.00034,7.413,12.812
v6,9,20,0.02766,-0.00205,0.03269,0.04814,0.05134,-0.00469,0.22817,0.46944,8.12,22.822
v6,9,50,0.01903,0.00193,0.02328,0.04223,0.03067,-0.00025,0.20392,0.33429,9.607,20.367
v6,9,100,0.01417,0.00028,0.01761,0.03075,0.02112,0.00173,0.1679,0.21884,10.659,19.317
v6,9,200,0.01004,-0.00048,0.01454,0.02254,0.01824,-0.00027,0.06727,0.09927,10.696,28.804
v6,9,500,0.00609,3e-05,0.01047,0.00969,0.01125,0.00108,0.04127,0.04509,9.839,27.401
v6,9,1000,0.00439,-1e-05,0.0074,0.00374,0.00718,0.00033,0.02229,0.01319,10.248,22.312
v6,9,2000,0.00316,0.00037,0.00284,0.00022,0.00507,-0.0003,0.0046,0.00046,10.609,22.291
v6,9,5000,0.00196,2e-05,0.00178,8e-05,0.00298,0.00011,0.00095,5e-05,10.162,19.221
