design,version,W,n,metric,census,mean,sd,bias,lo,hi
simple,v2,3,2000,A_macrof1,0.2183,0.3044,0.08271,0.08618,0.2041,0.5333
simple,v2,3,2000,B_oa,0.8784,0.8776,0.00832,-0.00079,0.8622,0.8915
simple,v2,3,2000,C_oa,0.8781,0.8773,0.00826,-0.00076,0.8619,0.8908
simple,v2,3,2000,A_oa_wtd,0.8718,0.8711,0.00735,-0.00068,0.8584,0.8829
simple,v2,3,2000,A_macrof1_wtd,0.2183,0.3044,0.08271,0.08618,0.2041,0.5333
simple,v2,3,2000,C_frac_majority,,0.9986,0.00087,,,
strat,v2,3,2000,A_oa,0.8718,0.4691,0.00559,-0.40275,0.4588,0.4804
strat,v2,3,2000,A_kappa,0.0436,0.1777,0.00864,0.13414,0.1621,0.1946
strat,v2,3,2000,A_macrof1,0.2183,0.3211,0.00775,0.10288,0.3072,0.3361
strat,v2,3,2000,B_oa,0.8784,0.8808,0.01425,0.00237,0.854,0.9034
strat,v2,3,2000,C_oa,0.8781,0.8806,0.01425,0.00253,0.8539,0.9021
strat,v2,3,2000,A_oa_wtd,0.8718,0.8741,0.01258,0.00226,0.8497,0.8927
strat,v2,3,2000,A_macrof1_wtd,0.2183,0.2211,0.01012,0.00283,0.2081,0.2452
strat,v2,3,2000,C_frac_majority,,0.9951,0.00137,,,
simple,v2,3,5000,A_oa,0.8718,0.8719,0.00442,0.00011,0.863,0.8798
simple,v2,3,5000,A_kappa,0.0436,0.0419,0.00767,-0.00166,0.0282,0.0578
simple,v2,3,5000,A_macrof1,0.2183,0.2355,0.02596,0.01721,0.2063,0.2776
simple,v2,3,5000,B_oa,0.8784,0.8786,0.00475,0.00017,0.8691,0.8869
simple,v2,3,5000,C_oa,0.8781,0.8782,0.00474,0.00015,0.8687,0.8865
simple,v2,3,5000,A_oa_wtd,0.8718,0.8719,0.00442,0.00011,0.863,0.8798
simple,v2,3,5000,A_macrof1_wtd,0.2183,0.2355,0.02596,0.01721,0.2063,0.2776
simple,v2,3,5000,C_frac_majority,,0.9984,0.00051,,,
strat,v2,3,5000,A_oa,0.8718,0.4674,0.00343,-0.40443,0.4604,0.4742
strat,v2,3,5000,A_kappa,0.0436,0.174,0.00485,0.13047,0.1642,0.1826
strat,v2,3,5000,A_macrof1,0.2183,0.3188,0.00447,0.10052,0.3095,0.3267
strat,v2,3,5000,B_oa,0.8784,0.8796,0.0096,0.00116,0.86,0.8967
strat,v2,3,5000,C_oa,0.8781,0.8793,0.00956,0.0012,0.8604,0.8965
strat,v2,3,5000,A_oa_wtd,0.8718,0.8727,0.00833,0.00087,0.8562,0.8886
strat,v2,3,5000,A_macrof1_wtd,0.2183,0.2197,0.00539,0.00143,0.2113,0.2304
strat,v2,3,5000,C_frac_majority,,0.9952,0.00083,,,
simple,v2,5,20,A_oa,0.8718,0.88,0.05984,0.0082,0.7574,0.981
simple,v2,5,20,A_kappa,0.0436,0.0169,0.06251,-0.02669,-0.0324,0.1941
simple,v2,5,20,A_macrof1,0.2182,0.9168,0.08958,0.69851,0.6003,0.9904
simple,v2,5,20,B_oa,0.8839,0.893,0.07072,0.00906,0.75,1.0
simple,v2,5,20,C_oa,0.8835,0.8925,0.07013,0.00896,0.75,1.0
simple,v2,5,20,A_oa_wtd,0.8718,0.88,0.05984,0.0082,0.7574,0.981
simple,v2,5,20,A_macrof1_wtd,0.2182,0.9168,0.08958,0.69851,0.6003,0.9904
simple,v2,5,20,C_frac_majority,,0.996,0.01363,,,
strat,v2,5,20,A_oa,0.8718,0.5216,0.07025,-0.35018,0.3777,0.6581
strat,v2,5,20,A_kappa,0.0436,0.1859,0.10312,0.1423,0.0021,0.3921
strat,v2,5,20,A_macrof1,0.2182,0.4314,0.10271,0.21314,0.2424,0.6745
strat,v2,5,20,B_oa,0.8839,0.8858,0.16525,0.00191,0.4947,0.995
strat,v2,5,20,C_oa,0.8835,0.8881,0.16493,0.00458,0.4947,0.9949
strat,v2,5,20,A_oa_wtd,0.8718,0.8773,0.13741,0.00546,0.5549,0.9923
strat,v2,5,20,A_macrof1_wtd,0.2182,0.4204,0.11353,0.20217,0.2381,0.6744
strat,v2,5,20,C_frac_majority,,0.9925,0.0193,,,
simple,v2,5,50,A_oa,0.8718,0.8755,0.03521,0.00372,0.8104,0.9349
simple,v2,5,50,A_kappa,0.0436,0.0389,0.05889,-0.00472,-0.0207,0.1695
simple,v2,5,50,A_macrof1,0.2182,0.839,0.17644,0.62078,0.4709,0.9675
simple,v2,5,50,B_oa,0.8839,0.8896,0.03923,0.00566,0.8,0.9505
simple,v2,5,50,C_oa,0.8835,0.89,0.03944,0.00646,0.8,0.96
simple,v2,5,50,A_oa_wtd,0.8718,0.8755,0.03521,0.00372,0.8104,0.9349
simple,v2,5,50,A_macrof1_wtd,0.2182,0.839,0.17644,0.62078,0.4709,0.9675
simple,v2,5,50,C_frac_majority,,0.997,0.00823,,,
strat,v2,5,50,A_oa,0.8718,0.5204,0.03396,-0.35145,0.464,0.5842
strat,v2,5,50,A_kappa,0.0436,0.1825,0.05946,0.13888,0.0668,0.2873
strat,v2,5,50,A_macrof1,0.2182,0.3397,0.05512,0.12145,0.2541,0.4682
strat,v2,5,50,B_oa,0.8839,0.8947,0.08612,0.01076,0.6942,0.9909
strat,v2,5,50,C_oa,0.8835,0.8945,0.08614,0.01099,0.6936,0.991
strat,v2,5,50,A_oa_wtd,0.8718,0.8839,0.0757,0.01206,0.725,0.9893
strat,v2,5,50,A_macrof1_wtd,0.2182,0.2971,0.06048,0.07887,0.2097,0.4327
strat,v2,5,50,C_frac_majority,,0.9894,0.01317,,,
simple,v2,5,100,A_oa,0.8718,0.8722,0.027,0.00041,0.8132,0.9171
simple,v2,5,100,A_kappa,0.0436,0.0399,0.04829,-0.00372,-0.0128,0.1576
simple,v2,5,100,A_macrof1,0.2182,0.7369,0.21921,0.51865,0.3587,0.9539
simple,v2,5,100,B_oa,0.8839,0.883,0.03122,-0.00094,0.8247,0.9452
simple,v2,5,100,C_oa,0.8835,0.8822,0.03087,-0.00134,0.8247,0.9452
simple,v2,5,100,A_oa_wtd,0.8718,0.8722,0.027,0.00041,0.8132,0.9171
simple,v2,5,100,A_macrof1_wtd,0.2182,0.7369,0.21921,0.51865,0.3587,0.9539
simple,v2,5,100,C_frac_majority,,0.9958,0.00727,,,
strat,v2,5,100,A_oa,0.8718,0.5143,0.02679,-0.35749,0.4644,0.5642
strat,v2,5,100,A_kappa,0.0436,0.1734,0.03958,0.12985,0.1025,0.2436
strat,v2,5,100,A_macrof1,0.2182,0.3216,0.03647,0.10331,0.2562,0.3953
strat,v2,5,100,B_oa,0.8839,0.8852,0.06375,0.00126,0.7434,0.9896
strat,v2,5,100,C_oa,0.8835,0.884,0.06283,0.00049,0.7435,0.9894
strat,v2,5,100,A_oa_wtd,0.8718,0.8693,0.05773,-0.00254,0.7495,0.9737
strat,v2,5,100,A_macrof1_wtd,0.2182,0.2484,0.03893,0.03015,0.1873,0.3362
strat,v2,5,100,C_frac_majority,,0.9904,0.01004,,,
simple,v2,5,200,A_oa,0.8718,0.8712,0.01819,-0.00056,0.8342,0.8994
simple,v2,5,200,A_kappa,0.0436,0.0427,0.0368,-0.00083,-0.0091,0.1358
simple,v2,5,200,A_macrof1,0.2182,0.5834,0.2081,0.36512,0.3106,0.9445
