design,version,W,n,cls,frac_absent
simple,v3,5,1000,Development,0.0
simple,v3,5,1000,Insect/Disease,0.0
simple,v3,5,1000,Beaver,0.0
strat,v3,5,1000,Stable,0.0
strat,v3,5,1000,Harvest,0.0
strat,v3,5,1000,Development,0.0
strat,v3,5,1000,Insect/Disease,0.0
strat,v3,5,1000,Beaver,0.0
simple,v3,5,2000,Stable,0.0
simple,v3,5,2000,Harvest,0.0
simple,v3,5,2000,Development,0.0
simple,v3,5,2000,Insect/Disease,0.0
simple,v3,5,2000,Beaver,0.0
strat,v3,5,2000,Stable,0.0
strat,v3,5,2000,Harvest,0.0
strat,v3,5,2000,Development,0.0
strat,v3,5,2000,Insect/Disease,0.0
strat,v3,5,2000,Beaver,0.0
simple,v3,5,5000,Stable,0.0
simple,v3,5,5000,Harvest,0.0
simple,v3,5,5000,Development,0.0
simple,v3,5,5000,Insect/Disease,0.0
simple,v3,5,5000,Beaver,0.0
strat,v3,5,5000,Stable,0.0
strat,v3,5,5000,Harvest,0.0
strat,v3,5,5000,Development,0.0
strat,v3,5,5000,Insect/Disease,0.0
strat,v3,5,5000,Beaver,0.0
simple,v3,7,20,Stable,0.0
simple,v3,7,20,Harvest,0.12
simple,v3,7,20,Development,0.25
simple,v3,7,20,Insect/Disease,0.2
simple,v3,7,20,Beaver,0.0
strat,v3,7,20,Stable,0.0
strat,v3,7,20,Harvest,0.0
strat,v3,7,20,Development,0.0
strat,v3,7,20,Insect/Disease,0.0
strat,v3,7,20,Beaver,0.0
simple,v3,7,50,Stable,0.0
simple,v3,7,50,Harvest,0.02
simple,v3,7,50,Development,0.05
simple,v3,7,50,Insect/Disease,0.0
simple,v3,7,50,Beaver,0.0
strat,v3,7,50,Stable,0.0
strat,v3,7,50,Harvest,0.0
strat,v3,7,50,Development,0.0
strat,v3,7,50,Insect/Disease,0.0
strat,v3,7,50,Beaver,0.0
simple,v3,7,100,Stable,0.0
simple,v3,7,100,Harvest,0.0
simple,v3,7,100,Development,0.0
simple,v3,7,100,Insect/Disease,0.0
simple,v3,7,100,Beaver,0.0
strat,v3,7,100,Stable,0.0
strat,v3,7,100,Harvest,0.0
strat,v3,7,100,Development,0.0
strat,v3,7,100,Insect/Disease,0.0
strat,v3,7,100,Beaver,0.0
simple,v3,7,200,Stable,0.0
simple,v3,7,200,Harvest,0.0
simple,v3,7,200,Development,0.0
simple,v3,7,200,Insect/Disease,0.0
simple,v3,7,200,Beaver,0.0
strat,v3,7,200,Stable,0.0
strat,v3,7,200,Harvest,0.0
strat,v3,7,200,Development,0.0
strat,v3,7,200,Insect/Disease,0.0
strat,v3,7,200,Beaver,0.0
simple,v3,7,500,Stable,0.0
simple,v3,7,500,Harvest,0.0
simple,v3,7,500,Development,0.0
simple,v3,7,500,Insect/Disease,0.0
simple,v3,7,500,Beaver,0.0
strat,v3,7,500,Stable,0.0
