design,version,W,n,cls,census_corr,mean_corr,frac_undefined,mean_rmse,mean_bias
simple,v2,3,500,Grass/Shrub,0.2507,0.2566,0.0,0.308,0.0112
simple,v2,3,500,Wetland,0.4248,0.4285,0.0,0.2769,-0.0325
simple,v2,3,500,Beaver,0.0308,0.0359,0.62,0.2288,0.0684
simple,v2,3,500,Insect/Disease,0.0291,0.0135,0.0,0.1345,0.0168
strat,v2,3,500,Harvest,0.0874,0.1179,0.0,0.2959,-0.0645
strat,v2,3,500,Development,0.0341,0.189,0.0,0.2294,-0.0464
strat,v2,3,500,Forest,0.7056,0.4901,0.0,0.3811,0.0847
strat,v2,3,500,Urban,0.6405,0.6778,0.0,0.2526,0.0581
strat,v2,3,500,Water,0.9617,0.9503,0.0,0.0929,-0.0009
strat,v2,3,500,Agriculture,0.8371,0.7143,0.0,0.2349,0.0142
strat,v2,3,500,Grass/Shrub,0.2507,0.2904,0.0,0.3016,-0.0229
strat,v2,3,500,Wetland,0.4248,0.3591,0.0,0.3007,-0.0134
strat,v2,3,500,Beaver,0.0308,0.3468,0.0,0.2645,0.0273
strat,v2,3,500,Insect/Disease,0.0291,0.11,0.0,0.2355,-0.0362
simple,v2,3,1000,Harvest,0.0874,0.0852,0.0,0.1256,-0.0017
simple,v2,3,1000,Development,0.0341,0.0323,0.25,0.073,0.0071
simple,v2,3,1000,Forest,0.7056,0.703,0.0,0.3664,-0.0844
simple,v2,3,1000,Urban,0.6405,0.6427,0.0,0.1633,0.0263
simple,v2,3,1000,Water,0.9617,0.9613,0.0,0.0746,0.0011
simple,v2,3,1000,Agriculture,0.8371,0.8388,0.0,0.191,-0.0116
simple,v2,3,1000,Grass/Shrub,0.2507,0.2473,0.0,0.3103,0.0098
simple,v2,3,1000,Wetland,0.4248,0.4201,0.0,0.2774,-0.0311
simple,v2,3,1000,Beaver,0.0308,0.0293,0.29,0.2274,0.0674
simple,v2,3,1000,Insect/Disease,0.0291,0.027,0.0,0.1358,0.0172
strat,v2,3,1000,Harvest,0.0874,0.1317,0.0,0.2941,-0.0634
strat,v2,3,1000,Development,0.0341,0.1788,0.0,0.2326,-0.046
strat,v2,3,1000,Forest,0.7056,0.4836,0.0,0.3843,0.0863
strat,v2,3,1000,Urban,0.6405,0.6778,0.0,0.252,0.057
strat,v2,3,1000,Water,0.9617,0.9498,0.0,0.0934,-0.001
strat,v2,3,1000,Agriculture,0.8371,0.7121,0.0,0.2359,0.014
strat,v2,3,1000,Grass/Shrub,0.2507,0.2846,0.0,0.303,-0.0227
strat,v2,3,1000,Wetland,0.4248,0.3599,0.0,0.3029,-0.0116
strat,v2,3,1000,Beaver,0.0308,0.3446,0.0,0.2649,0.0268
strat,v2,3,1000,Insect/Disease,0.0291,0.1043,0.0,0.2348,-0.0393
simple,v2,3,2000,Harvest,0.0874,0.0804,0.0,0.1243,-0.0018
simple,v2,3,2000,Development,0.0341,0.0382,0.04,0.0754,0.0074
