design,version,W,n,metric,census,mean,sd,bias,lo,hi
simple,v2,3,500,A_macrof1_wtd,0.3817,0.5463,0.05136,0.16463,0.4551,0.6404
simple,v2,3,500,C_frac_majority,,0.9833,0.00594,,,
strat,v2,3,500,A_oa,0.6634,0.477,0.01482,-0.18636,0.4434,0.5037
strat,v2,3,500,A_kappa,0.5375,0.4048,0.01653,-0.13272,0.3662,0.4343
strat,v2,3,500,A_macrof1,0.3817,0.4027,0.0159,0.02106,0.373,0.4316
strat,v2,3,500,B_oa,0.6911,0.6899,0.03676,-0.0011,0.6266,0.7575
strat,v2,3,500,C_oa,0.6766,0.6756,0.03793,-0.00102,0.6117,0.7446
strat,v2,3,500,A_oa_wtd,0.6634,0.6632,0.0318,-0.00019,0.6069,0.7231
strat,v2,3,500,A_macrof1_wtd,0.3817,0.3842,0.01671,0.00257,0.3569,0.4249
strat,v2,3,500,C_frac_majority,,0.9771,0.00577,,,
simple,v2,3,1000,A_oa,0.6634,0.6629,0.01197,-0.00051,0.6399,0.6843
simple,v2,3,1000,A_kappa,0.5375,0.5365,0.01588,-0.00106,0.5057,0.5679
simple,v2,3,1000,A_macrof1,0.3817,0.4967,0.05056,0.11508,0.4149,0.6099
simple,v2,3,1000,B_oa,0.6911,0.6903,0.01395,-0.00072,0.6645,0.7176
simple,v2,3,1000,C_oa,0.6766,0.6753,0.0153,-0.00128,0.644,0.7056
simple,v2,3,1000,A_oa_wtd,0.6634,0.6629,0.01197,-0.00051,0.6399,0.6843
simple,v2,3,1000,A_macrof1_wtd,0.3817,0.4967,0.05056,0.11508,0.4149,0.6099
simple,v2,3,1000,C_frac_majority,,0.9843,0.00379,,,
strat,v2,3,1000,A_oa,0.6634,0.4755,0.01,-0.18789,0.4568,0.4945
strat,v2,3,1000,A_kappa,0.5375,0.4031,0.01117,-0.1344,0.3828,0.4237
strat,v2,3,1000,A_macrof1,0.3817,0.4017,0.01093,0.02001,0.3828,0.4222
strat,v2,3,1000,B_oa,0.6911,0.6862,0.02698,-0.00488,0.6293,0.7326
strat,v2,3,1000,C_oa,0.6766,0.6725,0.02664,-0.00408,0.6173,0.7237
strat,v2,3,1000,A_oa_wtd,0.6634,0.6602,0.02275,-0.00319,0.6166,0.7002
strat,v2,3,1000,A_macrof1_wtd,0.3817,0.382,0.0101,0.00036,0.3658,0.402
strat,v2,3,1000,C_frac_majority,,0.9788,0.00461,,,
simple,v2,3,2000,A_oa,0.6634,0.663,0.0094,-0.00035,0.6435,0.68
simple,v2,3,2000,A_kappa,0.5375,0.5371,0.01243,-0.00046,0.5112,0.5594
simple,v2,3,2000,A_macrof1,0.3817,0.4461,0.03818,0.06448,0.3779,0.5406
simple,v2,3,2000,B_oa,0.6911,0.6908,0.01085,-0.00025,0.67,0.7123
simple,v2,3,2000,C_oa,0.6766,0.6763,0.01124,-0.00026,0.6532,0.6985
simple,v2,3,2000,A_oa_wtd,0.6634,0.663,0.0094,-0.00035,0.6435,0.68
simple,v2,3,2000,A_macrof1_wtd,0.3817,0.4461,0.03818,0.06448,0.3779,0.5406
simple,v2,3,2000,C_frac_majority,,0.9835,0.00295,,,
strat,v2,3,2000,A_oa,0.6634,0.4765,0.00713,-0.18684,0.4636,0.491
strat,v2,3,2000,A_kappa,0.5375,0.4042,0.00798,-0.13336,0.3897,0.4206
strat,v2,3,2000,A_macrof1,0.3817,0.402,0.00767,0.02033,0.3891,0.4172
strat,v2,3,2000,B_oa,0.6911,0.6937,0.0175,0.00266,0.6614,0.7231
strat,v2,3,2000,C_oa,0.6766,0.6789,0.01795,0.00233,0.6439,0.7104
strat,v2,3,2000,A_oa_wtd,0.6634,0.6654,0.01584,0.00201,0.6348,0.6914
strat,v2,3,2000,A_macrof1_wtd,0.3817,0.3822,0.00732,0.00058,0.3707,0.3964
strat,v2,3,2000,C_frac_majority,,0.978,0.00292,,,
simple,v2,3,5000,A_oa,0.6634,0.6627,0.00537,-0.00065,0.6513,0.6729
simple,v2,3,5000,A_kappa,0.5375,0.5367,0.00703,-0.00084,0.5257,0.5501
