design,version,W,n,cls,metric,census,mean,sd,bias,frac_undefined
simple,v2,1,200,Urban,recall,0.6797,0.7007,0.2336,0.02093,0.0
simple,v2,1,200,Water,recall,0.9464,0.9429,0.06051,-0.00347,0.0
simple,v2,1,200,Agriculture,recall,0.7667,0.7597,0.08223,-0.00697,0.0
simple,v2,1,200,Grass/Shrub,recall,0.2905,0.2788,0.12222,-0.01172,0.0
simple,v2,1,200,Wetland,recall,0.3386,0.3426,0.10824,0.00399,0.0
simple,v2,1,200,Beaver,recall,0.3293,0.3333,0.5,0.00407,0.91
simple,v2,1,200,Insect/Disease,recall,0.0713,0.05,0.20825,-0.02134,0.5
simple,v2,1,200,Harvest,precision,0.0888,0.0968,0.21076,0.00794,0.15
simple,v2,1,200,Development,precision,0.0073,0.0,0.0,-0.00727,0.18
simple,v2,1,200,Forest,precision,0.8795,0.8795,0.03161,0.0,0.0
simple,v2,1,200,Urban,precision,0.3781,0.3794,0.16162,0.00133,0.0
simple,v2,1,200,Water,precision,0.9349,0.9449,0.05841,0.00995,0.0
simple,v2,1,200,Agriculture,precision,0.8345,0.8424,0.07613,0.00795,0.0
simple,v2,1,200,Grass/Shrub,precision,0.2546,0.2364,0.10515,-0.01822,0.0
simple,v2,1,200,Wetland,precision,0.4735,0.465,0.13904,-0.00858,0.0
simple,v2,1,200,Beaver,precision,0.0019,0.0023,0.01376,0.00043,0.0
simple,v2,1,200,Insect/Disease,precision,0.0113,0.0087,0.05619,-0.00261,0.03
simple,v2,1,200,Harvest,f1,0.082,0.4036,0.1187,0.32155,0.81
simple,v2,1,200,Development,f1,0.0135,,,,1.0
simple,v2,1,200,Forest,f1,0.7999,0.7983,0.03508,-0.00156,0.0
simple,v2,1,200,Urban,f1,0.4859,0.4934,0.15344,0.00745,0.03
simple,v2,1,200,Water,f1,0.9406,0.9422,0.04438,0.00154,0.0
simple,v2,1,200,Agriculture,f1,0.7991,0.7958,0.06239,-0.00337,0.0
simple,v2,1,200,Grass/Shrub,f1,0.2714,0.2565,0.10055,-0.01488,0.02
simple,v2,1,200,Wetland,f1,0.3949,0.3876,0.10583,-0.0073,0.0
simple,v2,1,200,Beaver,f1,0.0038,0.1444,0.03849,0.14064,0.97
simple,v2,1,200,Insect/Disease,f1,0.0195,0.4074,0.2313,0.3879,0.97
strat,v2,1,200,Harvest,recall,0.0762,0.0705,0.0624,-0.00572,0.0
strat,v2,1,200,Development,recall,0.0914,0.0915,0.06319,0.00012,0.0
strat,v2,1,200,Forest,recall,0.7335,0.7335,0.09976,-1e-05,0.0
strat,v2,1,200,Urban,recall,0.6797,0.697,0.08814,0.01726,0.0
strat,v2,1,200,Water,recall,0.9464,0.9435,0.04906,-0.00289,0.0
strat,v2,1,200,Agriculture,recall,0.7667,0.7665,0.08705,-0.00017,0.0
strat,v2,1,200,Grass/Shrub,recall,0.2905,0.2945,0.09611,0.00398,0.0
strat,v2,1,200,Wetland,recall,0.3386,0.3235,0.09494,-0.01512,0.0
strat,v2,1,200,Beaver,recall,0.3293,0.342,0.12138,0.01274,0.0
strat,v2,1,200,Insect/Disease,recall,0.0713,0.0645,0.05564,-0.00684,0.0
strat,v2,1,200,Harvest,precision,0.0888,0.2789,0.31971,0.19009,0.01
strat,v2,1,200,Development,precision,0.0073,0.1257,0.30788,0.11842,0.01
strat,v2,1,200,Forest,precision,0.8795,0.8787,0.02723,-0.00086,0.0
strat,v2,1,200,Urban,precision,0.3781,0.436,0.14551,0.05795,0.0
strat,v2,1,200,Water,precision,0.9349,0.9222,0.07722,-0.0127,0.0
strat,v2,1,200,Agriculture,precision,0.8345,0.8428,0.06086,0.00837,0.0
strat,v2,1,200,Grass/Shrub,precision,0.2546,0.2869,0.1337,0.03229,0.0
strat,v2,1,200,Wetland,precision,0.4735,0.4977,0.16836,0.02414,0.0
strat,v2,1,200,Beaver,precision,0.0019,0.0028,0.0028,0.00086,0.0
