design,version,W,n,cls,frac_absent
simple,v2,3,1000,Water,0.0
simple,v2,3,1000,Agriculture,0.0
simple,v2,3,1000,Grass/Shrub,0.0
simple,v2,3,1000,Wetland,0.0
simple,v2,3,1000,Beaver,0.0
simple,v2,3,1000,Insect/Disease,0.0
strat,v2,3,1000,Harvest,0.0
strat,v2,3,1000,Development,0.0
strat,v2,3,1000,Forest,0.0
strat,v2,3,1000,Urban,0.0
strat,v2,3,1000,Water,0.0
strat,v2,3,1000,Agriculture,0.0
strat,v2,3,1000,Grass/Shrub,0.0
strat,v2,3,1000,Wetland,0.0
strat,v2,3,1000,Beaver,0.0
strat,v2,3,1000,Insect/Disease,0.0
simple,v2,3,2000,Harvest,0.0
simple,v2,3,2000,Development,0.0
simple,v2,3,2000,Forest,0.0
simple,v2,3,2000,Urban,0.0
simple,v2,3,2000,Water,0.0
simple,v2,3,2000,Agriculture,0.0
simple,v2,3,2000,Grass/Shrub,0.0
simple,v2,3,2000,Wetland,0.0
simple,v2,3,2000,Beaver,0.0
simple,v2,3,2000,Insect/Disease,0.0
strat,v2,3,2000,Harvest,0.0
strat,v2,3,2000,Development,0.0
strat,v2,3,2000,Forest,0.0
strat,v2,3,2000,Urban,0.0
strat,v2,3,2000,Water,0.0
strat,v2,3,2000,Agriculture,0.0
strat,v2,3,2000,Grass/Shrub,0.0
strat,v2,3,2000,Wetland,0.0
strat,v2,3,2000,Beaver,0.0
strat,v2,3,2000,Insect/Disease,0.0
simple,v2,3,5000,Harvest,0.0
simple,v2,3,5000,Development,0.0
simple,v2,3,5000,Forest,0.0
simple,v2,3,5000,Urban,0.0
simple,v2,3,5000,Water,0.0
simple,v2,3,5000,Agriculture,0.0
simple,v2,3,5000,Grass/Shrub,0.0
simple,v2,3,5000,Wetland,0.0
simple,v2,3,5000,Beaver,0.0
simple,v2,3,5000,Insect/Disease,0.0
strat,v2,3,5000,Harvest,0.0
strat,v2,3,5000,Development,0.0
strat,v2,3,5000,Forest,0.0
strat,v2,3,5000,Urban,0.0
strat,v2,3,5000,Water,0.0
strat,v2,3,5000,Agriculture,0.0
strat,v2,3,5000,Grass/Shrub,0.0
strat,v2,3,5000,Wetland,0.0
strat,v2,3,5000,Beaver,0.0
strat,v2,3,5000,Insect/Disease,0.0
simple,v2,5,20,Harvest,0.34
simple,v2,5,20,Development,0.52
simple,v2,5,20,Forest,0.0
simple,v2,5,20,Urban,0.02
simple,v2,5,20,Water,0.08
simple,v2,5,20,Agriculture,0.0
simple,v2,5,20,Grass/Shrub,0.01
simple,v2,5,20,Wetland,0.0
simple,v2,5,20,Beaver,0.04
simple,v2,5,20,Insect/Disease,0.13
strat,v2,5,20,Harvest,0.0
strat,v2,5,20,Development,0.0
strat,v2,5,20,Forest,0.0
strat,v2,5,20,Urban,0.0
strat,v2,5,20,Water,0.0
strat,v2,5,20,Agriculture,0.0
strat,v2,5,20,Grass/Shrub,0.0
strat,v2,5,20,Wetland,0.0
strat,v2,5,20,Beaver,0.0
strat,v2,5,20,Insect/Disease,0.0
simple,v2,5,50,Harvest,0.06
simple,v2,5,50,Development,0.19
simple,v2,5,50,Forest,0.0
simple,v2,5,50,Urban,0.0
simple,v2,5,50,Water,0.0
simple,v2,5,50,Agriculture,0.0
simple,v2,5,50,Grass/Shrub,0.0
simple,v2,5,50,Wetland,0.0
simple,v2,5,50,Beaver,0.0
simple,v2,5,50,Insect/Disease,0.01
strat,v2,5,50,Harvest,0.0
strat,v2,5,50,Development,0.0
strat,v2,5,50,Forest,0.0
strat,v2,5,50,Urban,0.0
strat,v2,5,50,Water,0.0
strat,v2,5,50,Agriculture,0.0
strat,v2,5,50,Grass/Shrub,0.0
strat,v2,5,50,Wetland,0.0
strat,v2,5,50,Beaver,0.0
strat,v2,5,50,Insect/Disease,0.0
simple,v2,5,100,Harvest,0.01
simple,v2,5,100,Development,0.04
simple,v2,5,100,Forest,0.0
simple,v2,5,100,Urban,0.0
simple,v2,5,100,Water,0.0
simple,v2,5,100,Agriculture,0.0
simple,v2,5,100,Grass/Shrub,0.0
simple,v2,5,100,Wetland,0.0
simple,v2,5,100,Beaver,0.0
simple,v2,5,100,Insect/Disease,0.0
strat,v2,5,100,Harvest,0.0
strat,v2,5,100,Development,0.0
strat,v2,5,100,Forest,0.0
strat,v2,5,100,Urban,0.0
strat,v2,5,100,Water,0.0
strat,v2,5,100,Agriculture,0.0
strat,v2,5,100,Grass/Shrub,0.0
strat,v2,5,100,Wetland,0.0
strat,v2,5,100,Beaver,0.0
strat,v2,5,100,Insect/Disease,0.0
simple,v2,5,200,Harvest,0.0
simple,v2,5,200,Development,0.0
simple,v2,5,200,Forest,0.0
simple,v2,5,200,Urban,0.0
simple,v2,5,200,Water,0.0
simple,v2,5,200,Agriculture,0.0
simple,v2,5,200,Grass/Shrub,0.0
simple,v2,5,200,Wetland,0.0
simple,v2,5,200,Beaver,0.0
simple,v2,5,200,Insect/Disease,0.0
strat,v2,5,200,Harvest,0.0
strat,v2,5,200,Development,0.0
strat,v2,5,200,Forest,0.0
strat,v2,5,200,Urban,0.0
strat,v2,5,200,Water,0.0
strat,v2,5,200,Agriculture,0.0
strat,v2,5,200,Grass/Shrub,0.0
strat,v2,5,200,Wetland,0.0
strat,v2,5,200,Beaver,0.0
strat,v2,5,200,Insect/Disease,0.0
simple,v2,5,500,Harvest,0.0
simple,v2,5,500,Development,0.0
simple,v2,5,500,Forest,0.0
simple,v2,5,500,Urban,0.0
simple,v2,5,500,Water,0.0
simple,v2,5,500,Agriculture,0.0
simple,v2,5,500,Grass/Shrub,0.0
simple,v2,5,500,Wetland,0.0
simple,v2,5,500,Beaver,0.0
simple,v2,5,500,Insect/Disease,0.0
strat,v2,5,500,Harvest,0.0
strat,v2,5,500,Development,0.0
strat,v2,5,500,Forest,0.0
strat,v2,5,500,Urban,0.0
strat,v2,5,500,Water,0.0
strat,v2,5,500,Agriculture,0.0
strat,v2,5,500,Grass/Shrub,0.0
strat,v2,5,500,Wetland,0.0
strat,v2,5,500,Beaver,0.0
strat,v2,5,500,Insect/Disease,0.0
simple,v2,5,1000,Harvest,0.0
simple,v2,5,1000,Development,0.0
simple,v2,5,1000,Forest,0.0
simple,v2,5,1000,Urban,0.0
simple,v2,5,1000,Water,0.0
simple,v2,5,1000,Agriculture,0.0
simple,v2,5,1000,Grass/Shrub,0.0
simple,v2,5,1000,Wetland,0.0
simple,v2,5,1000,Beaver,0.0
simple,v2,5,1000,Insect/Disease,0.0
strat,v2,5,1000,Harvest,0.0
strat,v2,5,1000,Development,0.0
strat,v2,5,1000,Forest,0.0
strat,v2,5,1000,Urban,0.0
strat,v2,5,1000,Water,0.0
strat,v2,5,1000,Agriculture,0.0
strat,v2,5,1000,Grass/Shrub,0.0
strat,v2,5,1000,Wetland,0.0
strat,v2,5,1000,Beaver,0.0
strat,v2,5,1000,Insect/Disease,0.0
simple,v2,5,2000,Harvest,0.0
simple,v2,5,2000,Development,0.0
simple,v2,5,2000,Forest,0.0
simple,v2,5,2000,Urban,0.0
simple,v2,5,2000,Water,0.0
